full_citation,study,web_of_science,country,mountain,study_spatial_scale,latitude,longitude,historic_year,modern_year,duration,taxa_specific,taxa,thermy,temp_change,expected_shift_given_in_study,lapse_rate,expected_shift,species_level_data,sp_n,sp_n_mean,shift_mean,shift_mean_se,responsiveness_mean,sp_n_lower_limit,shift_lower_limit,shift_lower_limit_se,responsiveness_lower,sp_n_upper,shift_upper_limit,shift_upper_limit_se,responsiveness_upper,weighted_shift,weighted_se,responsiveness,extraction_notes,temp_change_and_exp_shift_notes
"Kusrini, M. D., Lubis, M. I., Endarwin, W., Yazid, M., Darmawan, B., Ul-Hasanah, A. U., ... & Nasir, D. M. (2017). Elevation range shift after 40 years: The amphibians of Mount Gede Pangrango National Park revisited. Biological conservation, 206, 75-84.",Kusrini et al. 2016,yes,Indonesia,Mount Gede Pangrango,local,-6.76335,106.985886,1961-1964,2004-2007,43,frog,amphibian,ectotherm,0.98,no,used lapse rate of 0.55 C / 100 m reported by Chen et al. 2009 for Borneo (which was itself an assumed lapse rate based on general expectations for humid tropical mountains),178.1818182,yes,16,NA,NA,NA,NA,16,-68.75,34.79,-0.385841837,16,67.19,67.88,0.377086735,-0.78,51.335,-0.004377551,data for species presences/absences at different sites presented in Table 3,"Temperature increase at local site not reported in paper. So I extracted mean annual temperatures for grid cell containing Gede-Pangrango using CRU data. Historic mean annual temperature was 24.85 (mean of mean of each year: 1961, 1962, 1963, and 1964); modern mean annual temperature was 25.83 (mean of mean of each year: 2004, 2005, 2006, 2007). No information on lapse rate available."
"Popy, S., Bordignon, L., & Prodon, R. (2010). A weak upward elevational shift in the distributions of breeding birds in the Italian Alps. Journal of Biogeography, 37(1), 57-67.",Popy et al. 2010,yes,Italy,Alta Valsessara,regional,45.6531,7.9839,1992-1994,2003-2005,11,bird,bird,endotherm,1,no,used lapse rate of 0.60 C / 100 m reported by Rumpf et al. 2018 for a nearby site,166.6666667,yes,43,43,10.29963095,11.48107927,0.061797786,NA,NA,NA,NA,NA,NA,NA,NA,10.29963095,11.48107927,0.061797786,data for mean elevation shift reported in Appendix S2,Authors report change in local temperatures as an increase of 1 C over this time period
"Cannone, N., & Pignatti, S. (2014). Ecological responses of plant species and communities to climate warming: upward shift or range filling processes? Climatic Change, 123(2), 201-214.",Cannone & Pignatti 2014,yes,Italy,Italian Central Alps (Stelvio Pass),local,46.528617,10.45313,1953,2003,50,plant,plant,plant,1.1,no,used lapse rate of 0.60 C / 100 m reported by Rumpf et al. 2018 for a nearby site,183.3333333,yes,25,25,-27.08,13.59533253,-0.147709091,25,-48,14.71325933,-0.261818182,25,-37.36,21.51835496,-0.203781818,-37.48,16.60898227,-0.204436364,"data for optimum elevation shift (here coded as ""mean elevation shift"") and shifts at limits reported in Table S2","Authors present two estimates for local temperature increase between 1953 and 2003 (one estimate was 1 C, the other 1.2 C); here I use the midpoint (1.1 C). No information on lapse rate presented."
"Dieker, P., Drees, C., & Assmann, T. (2011). Two high-mountain burnet moth species (Lepidoptera, Zygaenidae) react differently to the global change drivers climate and land-use. Biological Conservation, 144(12), 2810-2818.",Dieker et al. 2011,yes,France,Pyrenees,regional,42.885923,-0.321378,1958-1986,2008-2009,48,butterfly,arthropod,ectotherm,1.17,no,used lapse rate of 0.52 C / 100 m reported by Menendez et al. 2014 for nearby site,225,yes,2,NA,NA,NA,NA,2,290,140,1.288888889,2,0,0,0,145,70,0.644444444,data on shifts in elevational limits presented in text,Authors provide estimated temperature change for this region between 1960 and 2009
"Brusca, R. C., Wiens, J. F., Meyer, W. M., Eble, J., Franklin, K., Overpeck, J. T., & Moore, W. (2013). Dramatic response to climate change in the Southwest: Robert Whittaker's 1963 Arizona Mountain plant transect revisited. Ecology and evolution, 3(10), 3307-3319.",Brusca et al. 2013,yes,USA,Mt. Lemmon,local,32.418722,-110.732721,1963,2011,48,plant,plant,plant,1.2,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for White Mountains from California (no data from SE Arizona in dataset),203.3898305,yes,27,NA,NA,NA,NA,27,137.9516712,31.78855378,0.678262383,27,-11.52890695,35.45276783,-0.056683793,63.21138212,33.62066081,0.310789295,data for elevational limit shifts presented in Table 1; I report shifts here in m (authors report shifts in ft),Authors report warming in Tucson of 0.25 C / decade; hence I calculated warming for this study as 0.25 * 4.8 = 1.2 degrees estimated warming. No information on lapse rate provided.
"Bergamini, A., Ungricht, S., & Hofmann, H. (2009). An elevational shift of cryophilous bryophytes in the last century an effect of climate warming? Diversity and Distributions, 15(5), 871-879.",Bergamini et al. 2009,yes,Switzerland,entire country,regional,46.752043,8.375829,1880-1920,1980-2005,92.5,bryophyte,plant,plant,1.25,no,used lapse rate of 0.60 C / 100 m reported by Rumpf et al. 2018 for a nearby site,208.3333333,yes,51,51,75.43137255,31.18099289,0.362070588,NA,NA,NA,NA,NA,NA,NA,NA,75.43137255,31.18099289,0.362070588,data for mean elevation shift reported in main text; species values are in Appendix S1,Authors provide reported warming for Switzerland between 1900 and 1992 (the time period of this study). Authors report the regional lapse rate as as 0.60 C decrease in temperature per 100 m elevation
"Wilson, R. J., Gutierrez, D., Gutierrez, J., Martinez, D., Agudo, R., & Monserrat, V. J. (2005). Changes to the elevational limits and extent of species ranges associated with climate change. Ecology letters, 8(11), 1138-1146.",Wilson et al. 2007,yes,Spain,Sierra de Guadarrama,local,40.848345,-3.954432,1967-1973,2004,34,butterfly,arthropod,ectotherm,1.3,no,used lapse rate of 0.61 C / 100 m reported by Menendez et al. 2014 for nearby site,213.1147541,no,23,19,103.78,55.69,0.486967692,23,134,48,0.628769231,23,64,59,0.300307692,100.3972308,54.14015385,0.471094698,"data for optimum elevation shift (here coded as ""mean elevation shift"") and shifts at elevational limits reported in main text; note that sample sizes are 19 for mean elevation shifts and 23 for lower and upper elevation shifts. ","Authors report that temperatures are 1.3 degrees warmer in modern period, based on intercepts of linear regressions of temperature against elevation. No information on lapse rate presented."
"Archaux, F. (2004). Breeding upwards when climate is becoming warmer: no bird response in the French Alps. Ibis, 146(1), 138-144.",Archaux 2004 Mont Ventoux,no,France,Mont Ventoux,local,44.0166,5.2666,1973,2000,27,bird,bird,endotherm,1.3,no,used lapse rate of 0.52 C / 100 m reported by Menendez et al. 2014 for nearby site,250,yes,17,17,-17.70588235,17.6580603,-0.070823529,NA,NA,NA,NA,NA,NA,NA,NA,-17.70588235,17.6580603,-0.070823529,data for mean elevation shift reported in Table 3,"Observed increases in spring temperatures at study site, mentioned in Discussion. No mention of lapse rate in the paper"
"Kullman, L. (2002). Rapid recent range margin rise of tree and shrub species in the Swedish Scandes. Journal of ecology, 90(1), 68-77.",Kullman 2002,yes,Sweden,Mt. Oreskutan,local,63.430367,13.093452,1945-1955,2000,50,plant,plant,plant,1.3,no,"used lapse rate of 0.59 C / 100 m reported by Bassler et al. 2013 for Germany, nearest data point to Scandinavia in this dataset",220.3389831,yes,12,NA,NA,NA,NA,NA,NA,NA,NA,12,142.4166667,43.01346835,0.646352564,142.4166667,43.01346835,0.646352564,data reported in text,Authors present temperature data in Figure 3 - estimated summer temperature in 1950 = 10 & in 2000 = 10.5; estimated winter temperature in 1950 = -7.4 & in 2000 = -5.3. I use the midpoint of these two changes (+ 0.5 and + 2.1; midpoint = 1.3). No information on lapse rates presented.
"Parolo, G., & Rossi, G. (2008). Upward migration of vascular plants following a climate warming trend in the Alps. Basic and Applied Ecology, 9(2), 100-107.",Parolo & Rossi 2008,no,Italy,Rhaetian alps,local,46.439488,10.082188,1954-1958,2003-2005,48,plant,plant,plant,1.35,no,used lapse rate of 0.60 C / 100 m reported by Rumpf et al. 2018 for a nearby site,225,yes,92,NA,NA,NA,NA,NA,NA,NA,NA,92,89.56521739,12.53581877,0.398067633,89.56521739,12.53581877,0.398067633,data for upper elevation shifts presented in Appendix B,Estimated temperature change is the midpoint of reported temperature increases in summer (+ 1.6) and winter (+ 1.1). Authors report lapse rate of 0.54 C decrease per 100 m elevation increase.
"Reif, J., & Flousek, J. (2012). The role of species' ecological traits in climatically driven altitudinal range shifts of central European birds. Oikos, 121(7), 1053-1060.",Reif & Flousek 2012,yes,Czech Republic,Giant Mountains,local,50.731469,15.623808,1986-1988,2006-2008,20,bird,bird,endotherm,1.41,no,used lapse rate of 0.60 C / 100 m reported by Rumpf et al. 2018 for a nearby site,235,yes (provided by authors upon request),51,51,30.49439205,11.84012651,0.12976337,NA,NA,NA,NA,NA,NA,NA,NA,30.49439205,11.84012651,0.12976337,"data for species kindly provided by authors upon request (following requests from reviewers, data were presented in the original publication in uninterpretable units)",Authors report changes in spring temperature at this site; averages for historic and modern sampling periods extracted from Figure 1 using WebPlotDigitizer
"Zorio, S. D., Williams, C. F., & Aho, K. A. (2016). Sixty-five years of change in montane plant communities in western Colorado, USA. Arctic, Antarctic, and Alpine Research, 48(4), 703-722.",Zorio et al. 2016,yes,USA,Rocky Mountains,local,38.881771,-106.942035,1948-1952,2014,64,plant,plant,plant,2,no,used lapse rate of 0.74 C / 100 m reported by Rowe et al. 2010 for Ruby Mountains in Nevada; no other data from Rockies in this dataset,270.2702703,yes,83,83,41.12048193,16.878665,0.152145783,83,-54.48192771,23.55858368,-0.201583133,83,72.93975904,26.37876169,0.269877108,19.85943775,22.27200346,0.07347992,data for elevation shifts reported in Table 3,Authors report the mean temperature increase in this area. No information on lapse rate provided.
"Savage, J., & Vellend, M. (2015). Elevational shifts, biotic homogenization and time lags in vegetation change during 40 years of climate warming. Ecography, 38(6), 546-555.",Savage & Vellend 2015,yes,Canada,Mont M_gantic,local,45.453249,-71.15011,1970,2012,42,plant,plant,plant,2.05,no,used lapse rate of 0.58 C / 100 m reported by Kirchman & van Keruren 2017 for nearby site,353.4482759,yes (see Becker-Scarpitta et al. 2019),50,50,38.9,8.151286364,0.110058537,NA,NA,NA,NA,NA,NA,NA,NA,38.9,8.151286364,0.110058537,data for mean elevation shift reported in main text,"Authors report local increases in daily maximum and minimum temperatures, measured from local weather stations - I use the midpoint of these values as the estimated temperature change at this site. Authors use a lapse rate of 0.55 C decrease per 100 m increase in elevation, but not entirely clear whether this lapse rate is assumed or measured locally."
"Wen, Z., Wu, Y., Ge, D., Cheng, J., Chang, Y., Yang, Z., ... & Yang, Q. (2017). Heterogeneous distributional responses to climate warming: evidence from rodents along a subtropical elevational gradient. BMC ecology, 17(1), 17.",Wen et al. 2017,no,China,Sichuan ,local,31.031077,103.164957,1986,2014-2015,28.5,mammal,mammal,endotherm,2.2,no,"used lapse rate of 0.5 C / 100 m reported by Jump et al. 2012 (from Taiwan; no data from Himalaya in this dataset, this value is consistent with published estimates of lapse rate for Himalaya)",440,yes,11,11,24.54545455,85.73864766,0.055785124,11,12.72727273,36.03258397,0.02892562,11,70.90909091,57.11956432,0.161157025,36.06060606,59.63026532,0.081955923,data for shifts at both mean elevations and at elevational limits presented in Figure 4 and extracted using WebPlotDigitizer,Authors report temperature change data from a weather station data located ~ 68 km from study site. No information on lapse rate presented.
"Telwala, Y., Brook, B. W., Manish, K., & Pandit, M. K. (2013). Climate-induced elevational range shifts and increase in plant species richness in a Himalayan biodiversity epicentre. PloS one, 8(2), e57103.",Telwala et al. 2013,yes,India,Sikkim (Lachen and Lhonakh Valleys),local,27.71718,88.556694,1849-1850,2007-2010,159,plant,plant,plant,2.205,no,"used lapse rate of 0.5 C / 100 m reported by Jump et al. 2012 (from Taiwan; no data from Himalaya in this dataset, this value is consistent with published estimates of lapse rate for Himalaya)",441,yes,124,NA,NA,NA,NA,124,256.9758065,27.28576871,0.582711579,124,205.2822581,20.67820892,0.465492649,231.1290323,23.98198881,0.524102114,data for elevational limit shifts presented in Table S1,"This value is the midpoint of change in mean temperatures at this site for the warmest month and the coldest month (0.76 C and 3.65 C, respectively). Authors measured a modern lapse rate of 0.42 C decline in temperature with 100 m increase in elevation (compared to a lapse rate reported from 1850 of 0.82 C / 100 m."
"Archaux, F. (2004). Breeding upwards when climate is becoming warmer: no bird response in the French Alps. Ibis, 146(1), 138-144.",Archaux 2004 Giffre Valley,no,France,Giffre Valley,local,46.0833,6.7333,1978,2001,23,bird,bird,endotherm,2.3,no,used lapse rate of 0.52 C / 100 m reported by Menendez et al. 2014 for nearby site,442.3076923,yes,24,24,-18.66666667,15.54827297,-0.042202899,NA,NA,NA,NA,NA,NA,NA,NA,-18.66666667,15.54827297,-0.042202899,data for mean elevation shift reported in Table 3,"Observed increases in spring temperatures at study site, mentioned in Discussion. No mention of lapse rate in the paper"
"Coals, P., Shmida, A., Vasl, A., Duguny, N. M., & Gilbert, F. (2018). Elevation patterns of plant diversity and recent altitudinal range shifts in Sinai's high mountain flora. Journal of vegetation science, 29(2), 255-264.",Coals et al. 2018,yes,Egypt,South Sinai,local,28.508334,33.954682,1974-1976,2014,39,plant,plant,plant,2.38,no,used lapse rate of 0.60 C / 100 m reported by Rumpf et al. 2018 for European Alps (no data from North Africa / Middle East in this dataset),396.6666667,yes,22,NA,NA,NA,NA,22,-100.1818182,33.15205924,-0.252559206,22,24.09090909,41.03060357,0.060733384,-38.04545455,37.0913314,-0.095912911,data for elevational limit shifts presented in Table 1,Authors report regional warming as 0.61 C / decade; I calculated this change as .61 * 3.9 = an estimated 2.38 C temperature increase. No information on lapse rate provided.
"He, X., Burgess, K. S., Gao, L. M., & Li, D. Z. (2019). Distributional responses to climate change for alpine species of Cyananthus and Primula endemic to the Himalaya-Hengduan Mountains. Plant diversity, 41(1), 26-32.",He et al. 2019,yes,China,Hengduan Mountains,regional,27.581803,99.178619,1922-1969,1970-2016,40,plant,plant,plant,2.4,no,"used lapse rate of 0.5 C / 100 m reported by Jump et al. 2012 (from Taiwan; no data from Himalaya in this dataset, this value is consistent with published estimates of lapse rate for Himalaya)",480,yes,7,7,237.6285714,40.8255039,0.495059524,NA,NA,NA,NA,NA,NA,NA,NA,237.6285714,40.8255039,0.495059524,data for mean elevation shift reported in Table 1; note that I calculated shifts using the species-level data presented in Table 1 which differ slightly from what is reported in the text in Results,"0.6 C increase per decade (!) reported in text for this region. Given that there is a mean time difference of 40 years between historic and modern periods, this equates to 2.4 C increase. No information on lapse rate reported."
"Barrows, C. W., Sweet, L. C., Rangitsch, J., Lalumiere, K., Green, T., Heacox, S., ... & Rodgers, J. E. (2020). Responding to increased aridity: Evidence for range shifts in lizards across a 50-year time span in Joshua Tree National Park. Biological Conservation, 248, 108667.",Barrows et al. 2020,yes,USA,Joshua Tree National Park,local,33.914352,-115.9623,1958-1972,2014-2016,50,lizard,reptile,ectotherm,2.31,no,used lapse rate of 0.73 C / 100 m reported by Kelly & Goulden 2008 from a nearby site,316.4383562,yes,7,7,64.14285714,21.92023263,0.202702536,7,-21.85714286,21.79059274,-0.069072356,7,205.0469168,77.50044986,0.647983763,82.44421037,40.40375841,0.260537981,data presented in Table 1,Change in mean annual temperature described in Results (section 3.1)
"Tiberti, R., Mangiacotti, M., & Bennati, R. The upward elevational shifts of pond breeding amphibians following climate warming. Biological Conservation, 253, 108911.",Tiberti et al. 2020,yes,Italy,Italian Alps,local,45.749745,10.165226,2005,2019,14,frog,amphibian,ectotherm,0.52,no,used lapse rate of 0.60 C / 100 m reported by Rumpf et al. 2018 for a nearby site,86.66666667,yes,3,NA,NA,NA,NA,3,42.66666667,42.66666667,0.492307692,3,118.5087901,68.42108187,1.367409117,80.58772839,61.60332518,0.929858404,data presented in Results,"Changes in temperature at this site plotted in Figure 2 - I used WebPlotDigitizer to extract values of temperature for start (2005) and end (2019) of study from smoothed trendline (8.42 vs. 8.94 C, respectively)"
"Nooten, S. S., & Rehan, S. M. (2020). Historical changes in bumble bee body size and range shift of declining species. Biodiversity and Conservation, 29(2), 451-467.",Nooten & Rehan 2020,yes,USA,New Hampshire,regional,43.94251,-71.78622,1867-1926,1987-2016,105,bumblebee,arthropod,ectotherm,1,no,used lapse rate of 0.58 C / 100 m reported by Kirchman & van Keruren 2017 for nearby site,172.4137931,yes,4,4,142.75,49.32270437,0.82795,NA,NA,NA,NA,NA,NA,NA,NA,142.75,49.32270437,0.82795,data presented in Table 2,Changes in temperature in this region during timeperiod reported in Discussion; authors note that they were unable to accont for sampling biases between time periods and so estimates of elevational range change should be interprted cautiously
"Geppert, C., Perazza, G., Wilson, R. J., Bertolli, A., Prosser, F., Melchiori, G., & Marini, L. (2020). Consistent population declines but idiosyncratic range shifts in Alpine orchids under global change. Nature communications,_11(1), 1-11.",Geppert et al. 2020,yes,Italy,Italian Alps,regional,46.169162,11.111818,1990-2003,2004-2017,14,orchid,plant,plant,0.34,yes,authors report that species are expected to shift 3.8 - 5.5 m/year to track warming; I used the midpoint of this range,65.1,yes,44,44,29.43181818,24.01726823,0.452101662,44,56.81818182,12.38487248,0.872783131,44,85.78175513,12.93208617,1.317692091,57.34391838,14.64784717,0.880858961,data extracted using WebPlotDigitizer from Figure 3,Author report change in temperature over 29 year time window comprising the years of this study to be 0.75 C; I used 0.48 of this value as the estimated temperature change over the 14 years duration between historic and modern sampling periods 
"Marshall, L., Perdijk, F., Dendoncker, N., Kunin, W., Roberts, S., & Biesmeijer, J. C. (2020). Bumblebees moving up: shifts in elevation ranges in the Pyrenees over 115 years. Proceedings of the Royal Society B, 287(1938), 20202201.",Marshall et al. 2020 bumblebee,yes,France,Pyrenees,local,42.868753,-0.083313,1889,2005-2006,116.5,bumblebee,arthropod,ectotherm,2.1,no,used lapse rate of 0.52 C / 100 m reported by Menendez et al. 2014 for nearby site,403.8461538,yes,12,12,132.1666667,54.40237758,0.327269841,12,179.25,59.37261957,0.443857143,12,276.1377977,79.71411593,0.683769785,195.8514881,67.81465514,0.48496559,data extracted from Figure 3 using WebPlotDigitizer,Authors report change in temperature for this area over this time period
"Marshall, L., Perdijk, F., Dendoncker, N., Kunin, W., Roberts, S., & Biesmeijer, J. C. (2020). Bumblebees moving up: shifts in elevation ranges in the Pyrenees over 115 years. Proceedings of the Royal Society B, 287(1938), 20202201.",Marshall et al. 2020 plant,yes,France,Pyrenees,local,42.868753,-0.083313,1889,2005-2006,116.5,plant,plant,plant,2.1,no,used lapse rate of 0.52 C / 100 m reported by Menendez et al. 2014 for nearby site,403.8461538,yes,15,15,230.3333333,44.68265528,0.570349206,12,280.8333333,53.03955547,0.695396825,12,195.7599798,56.51103852,0.484738998,235.2338399,51.27799332,0.582483794,data extracted from Figure 3 using WebPlotDigitizer,Authors report change in temperature for this area over this time period
"Telleria, J. L. (2019). Altitudinal shifts in forest birds in a Mediterranean mountain range: causes and conservation prospects. Bird Conservation International, 1-11.",Telleria 2019,yes,Spain,Sierra de Guadarrama,local,40.848345,-3.954432,1976-1980,2014-2015,36.5,bird,bird,endotherm,1.3,no,used lapse rate of 0.61 C / 100 m reported by Menendez et al. 2014 for nearby site,213.1147541,yes,43,43,-84.69162791,19.30897321,-0.397399177,NA,NA,NA,NA,NA,NA,NA,NA,-84.69162791,19.30897321,-0.397399177,data presented in supplementary material,"No temperature data reported in this paper, so used temperature change estimate for same site reported in Wilson et al. 2007"
"Neate-Clegg, M. H., O'Brien, T. G., Mulindahabi, F., & Sekercioglu, C. H. (2020). A disconnect between upslope shifts and climate change in an Afrotropical bird community. Conservation Science and Practice, 2(11), e291.",Neate-Clegg et al. 2020,yes,Rwanda,Nyungwe National Park,local,-2.482475,29.207696,1997,2011,14,bird,bird,endotherm,-0.05,no,no nearby studies; used lapse rate of 0.55 C / 100 m which is typical for humid tropical mountains,-9.090909091,yes,51,51,28.1,10.82700844,-3.091,51,66.11764706,15.48999068,-7.272941176,51,138.6345777,19.41272381,-15.24980355,77.61740825,17.26277447,-8.537914907,data for changes in elevations (limits and mean elevation) given in Table S2; presented as coefficient of linear regression of elevation vs. year; I multiplied this coefficient by 14 to estimate overall shifts,"Authors have locally measured temperature, which shows a slight decrease in temperature over the study period. In contrast, CRU data show a consistent temperature increase over this study period. I use the locally measured temperature change, which is presumably a better metric for the study site"
